index,	 stop time ,	 position ,	 velocity 
 71,	 5.0000,	-1.2968,	-1.5720 
 72,	 3.0000,	-0.0302,	-0.7053 
 73,	 3.0000,	-0.3795,	-0.8374 
 74,	 9.0000,	 5.5593,	 1.0942 
 75,	 7.0000,	 5.2368,	 1.1994 
 76,	 10.0000,	 1.6291,	-0.9399 
 77,	 3.0000,	 5.3800,	 1.8875 
 78,	 8.0000,	 5.0262,	 1.3676 
 79,	 5.0000,	 5.1806,	 0.8977 
 80,	 5.0000,	-0.0030,	-0.3851 
 81,	 10.0000,	 4.7083,	-0.0244 
 82,	 10.0000,	 3.7876,	 0.7845 
 83,	 9.0000,	 5.0407,	 0.3641 
 84,	 3.0000,	-0.4680,	-1.1588 
 85,	 7.0000,	 5.1166,	 1.3356 
 86,	 10.0000,	 3.7452,	 0.2417 
 87,	 10.0000,	 3.5354,	-0.1081 
 88,	 10.0000,	 3.5144,	 0.3356 
 89,	 4.0000,	 5.7617,	 0.9318 
 90,	 10.0000,	 4.4779,	 0.2231 
 91,	 10.0000,	-0.7662,	-1.4245 
 92,	 4.0000,	-0.2206,	-0.6357 
 93,	 4.0000,	-0.1103,	-0.7138 
 94,	 9.0000,	-1.1917,	-1.7003 
 95,	 10.0000,	 3.8207,	-0.7615 
 96,	 10.0000,	 3.1596,	-0.4713 
 97,	 10.0000,	 3.4208,	-0.5559 
 98,	 10.0000,	 3.8730,	-0.1505 
 99,	 10.0000,	 5.4896,	 0.7060 
